RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1645190194505	 	3.3.1
USER	LAU Simulation	1	START	1645190196517	1645190196517
REQUEST	1	LAU_070_CaseSearchDownload	Case Search CSV Download	1645190392669	1645190393467	OK	 
GROUP	1	LAU_070_CaseSearchDownload	1645190392669	1645190393469	798	OK
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645190398461	1645190399260	OK	 
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645190399261	1645190399364	OK	 
GROUP	1	LAU_080_LogonAuditSearch	1645190398460	1645190399773	1301	OK
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645190404778	1645190405611	OK	 
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645190405611	1645190405701	OK	 
GROUP	1	LAU_090_LogonAuditPage2	1645190404778	1645190406019	1227	OK
REQUEST	1	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645190411021	1645190411960	OK	 
GROUP	1	LAU_100_LogonActivityDownload	1645190411020	1645190411961	939	OK
USER	LAU Simulation	1	END	1645190196517	1645190416978
USER	LAU Simulation	2	START	1645191196949	1645191196949
REQUEST	2	LAU_020_Homepage	LAU Homepage	1645191197430	1645191197583	OK	 
REQUEST	2	LAU_020_Homepage	LAU Homepage Redirect 1	1645191197584	1645191197607	OK	 
REQUEST	2	LAU_020_Homepage	LAU Homepage Redirect 2	1645191197607	1645191197666	OK	 
GROUP	2	LAU_020_Homepage	1645191197417	1645191197839	374	OK
REQUEST	2	LAU_030_Login	LAU Login	1645191202850	1645191203447	OK	 
REQUEST	2	LAU_030_Login	LAU Login Redirect 1	1645191203448	1645191203867	OK	 
REQUEST	2	LAU_030_Login	LAU Login Redirect 2	1645191203868	1645191203935	OK	 
GROUP	2	LAU_030_Login	1645191202849	1645191204235	1379	OK
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645191209258	1645191210185	OK	 
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645191210208	1645191210394	OK	 
GROUP	2	LAU_040_CaseAuditSearch	1645191209255	1645191211206	1589	OK
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645191216199	1645191216737	OK	 
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645191216743	1645191216798	OK	 
GROUP	2	LAU_050_CaseAuditPage2	1645191216199	1645191217162	833	OK
REQUEST	2	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645191222170	1645191222288	OK	 
GROUP	2	LAU_060_CaseActivityDownload	1645191222170	1645191222290	118	OK
REQUEST	2	LAU_070_CaseSearchDownload	Case Search CSV Download	1645191227288	1645191227383	OK	 
GROUP	2	LAU_070_CaseSearchDownload	1645191227288	1645191227422	95	OK
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645191232382	1645191233020	OK	 
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645191233020	1645191233110	OK	 
GROUP	2	LAU_080_LogonAuditSearch	1645191232381	1645191233397	976	OK
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645191238389	1645191238898	OK	 
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645191238899	1645191238984	OK	 
GROUP	2	LAU_090_LogonAuditPage2	1645191238389	1645191239231	823	OK
REQUEST	2	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645191244241	1645191244759	OK	 
GROUP	2	LAU_100_LogonActivityDownload	1645191244241	1645191244888	518	OK
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645191249751	1645191250231	OK	 
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645191250231	1645191250337	OK	 
GROUP	2	LAU_040_CaseAuditSearch	1645191249749	1645191250694	888	OK
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645191255702	1645191256128	OK	 
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645191256129	1645191256228	OK	 
GROUP	2	LAU_050_CaseAuditPage2	1645191255699	1645191256547	818	OK
REQUEST	2	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645191261550	1645191262028	OK	 
GROUP	2	LAU_060_CaseActivityDownload	1645191261549	1645191262062	478	OK
REQUEST	2	LAU_070_CaseSearchDownload	Case Search CSV Download	1645191267030	1645191267388	OK	 
GROUP	2	LAU_070_CaseSearchDownload	1645191267029	1645191267401	358	OK
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645191272390	1645191273087	OK	 
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645191273095	1645191273203	OK	 
GROUP	2	LAU_080_LogonAuditSearch	1645191272389	1645191273577	1027	OK
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645191278579	1645191279101	OK	 
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645191279102	1645191279206	OK	 
GROUP	2	LAU_090_LogonAuditPage2	1645191278578	1645191279893	957	OK
REQUEST	2	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645191284890	1645191285556	OK	 
GROUP	2	LAU_100_LogonActivityDownload	1645191284889	1645191285566	666	OK
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645191290562	1645191291019	OK	 
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645191291020	1645191291101	OK	 
GROUP	2	LAU_040_CaseAuditSearch	1645191290561	1645191291418	829	OK
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645191296420	1645191296513	OK	 
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645191296514	1645191296595	OK	 
GROUP	2	LAU_050_CaseAuditPage2	1645191296420	1645191296893	443	OK
REQUEST	2	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645191301890	1645191302100	OK	 
GROUP	2	LAU_060_CaseActivityDownload	1645191301890	1645191302100	210	OK
REQUEST	2	LAU_070_CaseSearchDownload	Case Search CSV Download	1645191307111	1645191307549	OK	 
GROUP	2	LAU_070_CaseSearchDownload	1645191307111	1645191307551	438	OK
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645191312542	1645191312918	OK	 
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645191312927	1645191312994	OK	 
GROUP	2	LAU_080_LogonAuditSearch	1645191312541	1645191313375	689	OK
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645191318369	1645191318981	OK	 
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645191318982	1645191319054	OK	 
GROUP	2	LAU_090_LogonAuditPage2	1645191318368	1645191319475	946	OK
REQUEST	2	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645191324479	1645191324728	OK	 
GROUP	2	LAU_100_LogonActivityDownload	1645191324478	1645191324730	249	OK
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645191329741	1645191330219	OK	 
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645191330221	1645191330347	OK	 
GROUP	2	LAU_040_CaseAuditSearch	1645191329740	1645191331137	1132	OK
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645191336130	1645191336262	OK	 
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645191336263	1645191336356	OK	 
GROUP	2	LAU_050_CaseAuditPage2	1645191336130	1645191336602	452	OK
REQUEST	2	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645191341613	1645191342114	OK	 
GROUP	2	LAU_060_CaseActivityDownload	1645191341601	1645191342115	501	OK
REQUEST	2	LAU_070_CaseSearchDownload	Case Search CSV Download	1645191347110	1645191347649	OK	 
GROUP	2	LAU_070_CaseSearchDownload	1645191347109	1645191347654	539	OK
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645191352660	1645191353275	OK	 
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645191353276	1645191353353	OK	 
GROUP	2	LAU_080_LogonAuditSearch	1645191352659	1645191353667	987	OK
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645191358661	1645191358885	OK	 
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645191358886	1645191358960	OK	 
GROUP	2	LAU_090_LogonAuditPage2	1645191358661	1645191359298	561	OK
REQUEST	2	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645191364302	1645191364755	OK	 
GROUP	2	LAU_100_LogonActivityDownload	1645191364299	1645191364762	453	OK
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645191369762	1645191370111	OK	 
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645191370111	1645191370272	OK	 
GROUP	2	LAU_040_CaseAuditSearch	1645191369761	1645191370631	783	OK
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645191375630	1645191376064	OK	 
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645191376065	1645191376161	OK	 
GROUP	2	LAU_050_CaseAuditPage2	1645191375628	1645191376436	781	OK
REQUEST	2	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645191381441	1645191381961	OK	 
GROUP	2	LAU_060_CaseActivityDownload	1645191381441	1645191381967	520	OK
REQUEST	2	LAU_070_CaseSearchDownload	Case Search CSV Download	1645191386949	1645191387196	OK	 
GROUP	2	LAU_070_CaseSearchDownload	1645191386949	1645191387203	247	OK
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645191392210	1645191392740	OK	 
REQUEST	2	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645191392741	1645191392824	OK	 
GROUP	2	LAU_080_LogonAuditSearch	1645191392210	1645191393173	864	OK
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645191398170	1645191398312	OK	 
REQUEST	2	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645191398313	1645191398378	OK	 
GROUP	2	LAU_090_LogonAuditPage2	1645191398169	1645191398711	516	OK
REQUEST	2	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645191403710	1645191403872	OK	 
